iter	Passed	Remaining
0	299	299036
1	302	150933
2	305	101522
3	308	76776
4	314	62518
5	315	52269
6	316	44942
7	318	39444
8	319	35154
9	320	31727
10	321	28930
11	325	26828
12	327	24831
13	328	23148
14	329	21658
15	331	20361
16	332	19206
17	333	18175
18	334	17254
19	335	16425
20	336	15676
21	338	15033
22	339	14414
23	340	13843
24	341	13314
25	342	12824
26	343	12371
27	344	11951
28	345	11566
29	346	11194
30	346	10844
31	347	10518
32	348	10212
33	349	9923
34	350	9650
35	352	9434
36	353	9190
37	353	8959
38	354	8739
39	355	8529
40	356	8329
41	356	8140
42	357	7959
43	358	7787
44	359	7621
45	359	7463
46	360	7312
47	361	7167
48	362	7028
49	363	6901
50	364	6773
51	367	6693
52	368	6588
53	369	6476
54	370	6369
55	371	6263
56	372	6161
57	373	6062
58	374	5975
59	375	5884
60	376	5793
61	377	5704
62	377	5619
63	378	5536
64	382	5495
65	382	5418
66	383	5342
67	384	5269
68	385	5197
69	385	5127
70	386	5059
71	387	4993
72	388	4929
73	388	4866
74	389	4805
75	390	4746
76	391	4687
77	391	4631
78	392	4577
79	393	4523
80	394	4470
81	397	4446
82	397	4392
83	398	4343
84	399	4295
85	399	4248
86	400	4203
87	401	4158
88	401	4114
89	402	4071
90	403	4029
91	404	3988
92	404	3949
93	405	3910
94	406	3871
95	407	3834
96	407	3798
97	408	3761
98	411	3741
99	412	3708
100	412	3674
101	413	3640
102	414	3607
103	414	3575
104	415	3543
105	416	3511
106	417	3481
107	417	3451
108	418	3422
109	419	3393
110	420	3364
111	420	3337
112	421	3309
113	422	3282
114	423	3256
115	423	3230
116	427	3227
117	428	3202
118	429	3177
119	429	3152
120	430	3128
121	431	3104
122	432	3080
123	432	3057
124	433	3034
125	434	3012
126	434	2989
127	435	2967
128	436	2946
129	437	2925
130	437	2904
131	438	2884
132	440	2874
133	441	2856
134	442	2837
135	443	2819
136	444	2801
137	445	2783
138	446	2764
139	447	2749
140	448	2731
141	448	2711
142	449	2694
143	450	2676
144	451	2659
145	451	2642
146	452	2626
147	453	2609
148	455	2601
149	456	2586
150	457	2570
151	457	2554
152	458	2538
153	459	2523
154	460	2507
155	460	2492
156	461	2478
157	462	2463
158	463	2449
159	463	2434
160	464	2419
161	464	2405
162	465	2391
163	466	2378
164	467	2364
165	467	2351
166	471	2350
167	471	2337
168	472	2324
169	473	2311
170	474	2298
171	474	2286
172	475	2273
173	476	2261
174	477	2249
175	477	2237
176	478	2225
177	479	2214
178	480	2202
179	480	2191
180	481	2179
181	482	2168
182	483	2157
183	486	2156
184	487	2145
185	487	2134
186	488	2123
187	489	2113
188	490	2102
189	490	2092
190	491	2082
191	492	2071
192	492	2061
193	493	2051
194	494	2041
195	495	2031
196	495	2021
197	496	2012
198	497	2002
199	498	1993
200	500	1991
201	501	1981
202	502	1973
203	503	1964
204	504	1956
205	505	1947
206	505	1938
207	506	1929
208	507	1920
209	508	1911
210	508	1903
211	509	1894
212	510	1885
213	511	1877
214	511	1869
215	512	1860
216	514	1854
217	516	1851
218	516	1843
219	517	1834
220	518	1826
221	519	1819
222	519	1811
223	520	1803
224	521	1795
225	522	1787
226	522	1780
227	523	1772
228	524	1765
229	525	1757
230	525	1750
231	526	1743
232	527	1736
233	529	1733
234	530	1727
235	531	1720
236	532	1713
237	533	1707
238	533	1700
239	534	1694
240	536	1688
241	536	1681
242	537	1674
243	538	1667
244	538	1660
245	539	1654
246	540	1647
247	541	1640
248	541	1634
